name,quantity,links to buy
200Ω,2,already had this
150Ω,2,already had this
100Ω,2,already had this
Capacitors - 0805 SMD,1,already had this
0.1μF,6,https://robu.in/product/0-1uf-capacitor-smdc-0603/?utm_source=chatgpt.com
0.01μF,2,already had this
LEDs - 0805 SMD,1,already had this
red,3,already had this
white,2,already had this
green,1,already had this
 90° JST Power Connector,1,already had this
Micro Coreless Motors,4,https://makerbazar.in/products/magnetic-micro-coreless-motor-for-drones-quadcopters-rc?variant=44950428942576&country=IN&currency=INR&utm_source=chatgpt.com
150-250mAh LiPo Battery,1,https://www.electronicscomp.com/3.7v-250mah-lipo-battery-model-kp-401226-india?utm_source=chatgpt.com
Propeller,4,https://robu.in/product/hqprop-ultralight-whoop-prop-1-2x0-9x331mm-clearhqprop-ultralight-whoop-prop-1-2x0-9x331mm-clear-2cw2ccw-pc-1mm-shaft/?utm_source=chatgpt.com
Small Zip-tie,1,already had this
Solid core jumper wires,1,already had this
PCB made by JLCPCB,1,30$
4g of 3D printed filament for frame/enclosure,1,already had this
MPU6050 IC ,1,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/?utm_source=chatgpt.com
XIAO ESP32-S3 Sense with antenna,1,https://www.seeedstudio.com/XIAO-ESP32S3-p-5627.html
SI2300 N-MOSFET,4,https://sharvielectronics.com/product/si2300ds-30v-3-6a-n-channel-mosfet-sot-23-package/?utm_source=chatgpt.com
1N4148 Switching Diode,4,https://robu.in/product/1n4148-1w-zener-diode-pack-of-50/?utm_source=chatgpt.com
Resistors - 0805 SMD ,1,https://www.mouser.in/ProductDetail/TE-Connectivity-Holsworthy/CPF0805B15KE?qs=s1WWODT2SXUZ3zOHpXQR8Q%3D%3D&mgh=1&utm_source=chatgpt.com
10KΩ,9,already had this
total cost is 38-40$,,
